record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-021-00218,2026-02-07,project-20,compute,asia-south1,prod,security,reliability,65.411,8.2,0.501,115.325,76.38,1
gcp-cost-021-00219,2026-02-08,project-12,compute,us-central1,sandbox,finops,latency,64.336,4.128,0.388,197.614,74.548,1
gcp-cost-021-00220,2026-02-09,project-02,cloud-run,global,staging,security,latency,57.58,7.645,0.555,126.163,75.815,1
gcp-cost-021-00221,2026-02-10,project-10,pubsub,europe-west1,staging,security,latency,59.448,15.426,0.902,93.116,100,1
gcp-cost-021-00222,2026-02-11,project-20,cloud-run,us-east1,prod,backend,quality,57.858,4.745,0.512,39.199,54.958,1
gcp-cost-021-00223,2026-02-12,project-14,vertex-ai,asia-south1,dev,backend,security,65.956,15.146,0.895,112.969,100,1
gcp-cost-021-00224,2026-02-13,project-12,vertex-ai,global,prod,mlops,quality,85.529,14.218,0.649,139.144,100,1
gcp-cost-021-00225,2026-02-14,project-24,gke,europe-west1,prod,finops,reliability,51.273,4.434,0.463,144.162,65.52,0
gcp-cost-021-00226,2026-02-15,project-18,cloud-sql,europe-west1,dev,platform,reliability,26.187,11.316,0.477,42.391,58.446,0
gcp-cost-021-00227,2026-02-16,project-13,vertex-ai,europe-west1,prod,finops,reliability,67.152,21.546,0.408,0.0,88.057,1
gcp-cost-021-00228,2026-02-17,project-24,gke,us-east1,staging,data,security,61.6,5.999,0.638,138.345,78.063,1
gcp-cost-021-00229,2026-02-18,project-14,cloud-run,us-central1,dev,security,latency,34.717,11.012,0.812,44.633,72.775,1
gcp-cost-021-00230,2026-02-19,project-19,compute,us-central1,prod,platform,latency,36.338,13.962,0.474,24.24,65.421,0
gcp-cost-021-00231,2026-02-20,project-16,vertex-ai,us-east1,staging,data,reliability,75.128,8.038,0.399,150.05,80.897,1
gcp-cost-021-00232,2026-02-21,project-11,cloud-run,europe-west1,prod,mlops,security,75.394,12.133,0.47,82.445,83.171,1
gcp-cost-021-00233,2026-02-22,project-11,cloud-sql,global,sandbox,platform,latency,0.0,4.614,0.673,99.18,48.785,0
gcp-cost-021-00234,2026-02-23,project-20,cloud-sql,global,prod,finops,quality,78.036,11.984,0.709,41.477,86.139,1
gcp-cost-021-00235,2026-02-24,project-24,cloud-sql,us-central1,dev,platform,cost,45.631,12.11,0.797,144.043,93.129,1
gcp-cost-021-00236,2026-02-25,project-04,vertex-ai,global,staging,platform,reliability,51.517,8.719,0.429,86.26,65.97,0
gcp-cost-021-00237,2026-02-26,project-16,pubsub,us-east1,prod,finops,quality,60.123,14.918,0.467,53.484,79.996,1
gcp-cost-021-00238,2026-02-27,project-16,cloud-run,global,dev,mlops,reliability,40.221,5.892,0.475,81.195,56.291,0
gcp-cost-021-00239,2026-02-28,project-10,compute,europe-west1,prod,mlops,cost,58.797,8.647,0.624,33.449,67.473,0
gcp-cost-021-00240,2026-03-01,project-22,compute,us-east1,prod,security,quality,76.214,13.88,0.616,108.767,96.483,1
gcp-cost-021-00241,2026-03-02,project-18,pubsub,us-east1,sandbox,finops,quality,46.928,6.581,0.528,54.647,58.23,0
gcp-cost-021-00242,2026-03-03,project-03,cloud-run,global,staging,finops,quality,23.215,9.709,0.548,91.479,63.3,0
gcp-cost-021-00243,2026-03-04,project-02,gke,europe-west1,prod,platform,quality,79.97,22.079,0.538,234.268,100,1
gcp-cost-021-00244,2026-03-05,project-06,bigquery,us-east1,staging,data,security,47.555,6.168,0.541,116.118,66.905,0
gcp-cost-021-00245,2026-03-06,project-24,compute,us-central1,staging,security,quality,54.633,7.313,0.505,24.422,57.422,0
gcp-cost-021-00246,2026-03-07,project-13,cloud-sql,europe-west1,prod,platform,security,51.483,10.737,0.608,116.741,81.377,1
gcp-cost-021-00247,2026-03-08,project-15,vertex-ai,global,sandbox,data,latency,73.724,7.64,0.53,52.424,69.825,0
gcp-cost-021-00248,2026-03-09,project-19,pubsub,us-east1,sandbox,mlops,latency,53.44,6.255,0.721,42.646,64.753,1
gcp-cost-021-00249,2026-03-10,project-13,cloud-sql,asia-south1,prod,backend,latency,85.751,9.315,0.234,121.344,77.634,1
gcp-cost-021-00250,2026-03-11,project-14,cloud-run,europe-west1,prod,platform,latency,81.138,5.994,0.145,163.618,71.32,1
gcp-cost-021-00251,2026-03-12,project-21,bigquery,europe-west1,staging,platform,cost,25.715,7.442,0.552,62.676,54.825,0
gcp-cost-021-00252,2026-03-13,project-22,bigquery,europe-west1,prod,finops,cost,69.544,8.867,0.811,153.293,95.77,1
gcp-cost-021-00253,2026-03-14,project-01,cloud-run,global,prod,security,quality,51.51,11.608,0.568,84.543,77.323,1
gcp-cost-021-00254,2026-03-15,project-01,cloud-run,global,prod,security,latency,52.916,10.712,0.546,120.122,80.143,1
gcp-cost-021-00255,2026-03-16,project-12,bigquery,europe-west1,dev,data,quality,11.857,22.718,0.579,199.096,100,1
gcp-cost-021-00256,2026-03-17,project-15,vertex-ai,global,sandbox,platform,quality,39.209,6.055,0.221,24.223,39.119,0
gcp-cost-021-00257,2026-03-18,project-18,cloud-run,europe-west1,staging,mlops,latency,60.907,16.867,0.643,33.646,88.085,1
gcp-cost-021-00258,2026-03-19,project-04,gke,us-central1,dev,finops,reliability,41.792,9.208,0.679,52.706,67.564,1
gcp-cost-021-00259,2026-03-20,project-23,gke,asia-south1,sandbox,security,cost,26.048,9.648,0.652,121.991,72.239,1
gcp-cost-021-00260,2026-03-21,project-07,cloud-run,europe-west1,prod,backend,latency,70.189,6.03,0.508,123.401,74.412,1
gcp-cost-021-00261,2026-03-22,project-06,cloud-sql,us-central1,sandbox,security,reliability,25.426,9.169,0.578,206.386,80.621,1
gcp-cost-021-00262,2026-03-23,project-08,compute,europe-west1,sandbox,data,quality,40.93,15.416,0.421,122.342,82.873,1
gcp-cost-021-00263,2026-03-24,project-16,cloud-run,global,prod,data,cost,48.704,21.225,0.516,152.336,100,1
gcp-cost-021-00264,2026-03-25,project-20,vertex-ai,global,dev,backend,cost,50.717,3.944,0.531,118.842,62.87,0
gcp-cost-021-00265,2026-03-26,project-06,pubsub,asia-south1,sandbox,data,latency,89.581,7.597,0.684,121.192,90.694,1
gcp-cost-021-00266,2026-03-27,project-04,bigquery,asia-south1,sandbox,finops,latency,31.759,7.337,0.398,44.668,48.679,0
gcp-cost-021-00267,2026-03-28,project-24,gke,europe-west1,prod,platform,security,75.548,11.098,0.409,175.227,92.206,1
gcp-cost-021-00268,2026-03-29,project-08,cloud-run,asia-south1,dev,mlops,quality,31.832,10.716,0.565,78.409,67.355,1
gcp-cost-021-00269,2026-03-30,project-12,cloud-sql,global,dev,backend,latency,86.304,9.03,0.244,69.758,69.989,1
gcp-cost-021-00270,2026-03-31,project-14,cloud-run,europe-west1,dev,mlops,security,27.867,12.772,0.795,127.977,86.043,1
gcp-cost-021-00271,2026-04-01,project-03,cloud-run,us-east1,sandbox,platform,reliability,23.842,19.105,0.496,84.646,82.627,1
gcp-cost-021-00272,2026-04-02,project-23,pubsub,europe-west1,prod,mlops,reliability,85.373,9.36,0.742,61.231,86.62,1
gcp-cost-021-00273,2026-04-03,project-24,cloud-run,global,sandbox,mlops,reliability,50.657,12.806,0.848,60.418,86.102,1
gcp-cost-021-00274,2026-04-04,project-11,vertex-ai,global,staging,backend,reliability,65.695,6.563,0.327,56.242,57.954,0
gcp-cost-021-00275,2026-04-05,project-23,compute,europe-west1,staging,security,cost,51.979,9.932,0.636,198.497,92.575,1
gcp-cost-021-00276,2026-04-06,project-23,bigquery,asia-south1,prod,backend,cost,75.906,12.777,0.719,25.749,85.3,1
gcp-cost-021-00277,2026-04-07,project-16,cloud-sql,us-central1,prod,platform,security,72.662,15.198,0.498,0.0,78.324,1
gcp-cost-021-00278,2026-04-08,project-01,gke,us-east1,prod,finops,cost,60.836,5.976,0.499,100.78,67.399,1
gcp-cost-021-00279,2026-04-09,project-17,bigquery,global,staging,data,latency,24.142,9.819,0.622,69.098,63.207,0
gcp-cost-021-00280,2026-04-10,project-16,compute,us-central1,prod,platform,latency,50.726,6.264,0.363,138.091,65.213,0
gcp-cost-021-00281,2026-04-11,project-02,cloud-run,us-east1,dev,platform,cost,40.149,11.458,0.451,98.959,71.004,1
gcp-cost-021-00282,2026-04-12,project-10,compute,us-east1,prod,security,cost,49.755,18.287,0.717,34.003,90.138,1
gcp-cost-021-00283,2026-04-13,project-12,cloud-sql,asia-south1,dev,mlops,latency,57.137,5.333,0.514,0.0,50.432,0
gcp-cost-021-00284,2026-04-14,project-07,vertex-ai,us-central1,dev,data,reliability,52.078,7.365,0.762,143.43,82.999,1
gcp-cost-021-00285,2026-04-15,project-09,pubsub,europe-west1,prod,mlops,cost,39.478,6.722,0.838,90.315,72.003,0
gcp-cost-021-00286,2026-04-16,project-09,pubsub,europe-west1,sandbox,platform,quality,61.304,7.898,0.684,135.739,83.62,1
gcp-cost-021-00287,2026-04-17,project-22,compute,us-central1,prod,security,quality,82.934,14.629,0.597,125.061,100,1
gcp-cost-021-00288,2026-04-18,project-09,gke,europe-west1,dev,backend,reliability,39.61,6.493,0.418,9.7,45.058,0
gcp-cost-021-00289,2026-04-19,project-09,bigquery,us-east1,prod,backend,quality,65.673,16.457,0.26,228.694,100,1
gcp-cost-021-00290,2026-04-20,project-07,cloud-sql,us-east1,staging,security,cost,56.265,12.058,0.689,151.05,93.971,1
gcp-cost-021-00291,2026-04-21,project-23,cloud-run,global,sandbox,finops,quality,77.119,9.807,0.395,105.06,79.021,1
gcp-cost-021-00292,2026-04-22,project-16,vertex-ai,asia-south1,dev,mlops,reliability,44.736,6.28,0.63,96.705,66.464,0
gcp-cost-021-00293,2026-04-23,project-11,cloud-sql,us-east1,prod,platform,security,62.293,7.534,0.478,143.169,76.991,1
gcp-cost-021-00294,2026-04-24,project-22,gke,us-central1,prod,mlops,cost,89.715,14.686,0.715,146.371,100,1
gcp-cost-021-00295,2026-04-25,project-05,pubsub,asia-south1,prod,data,latency,89.777,12.487,0.213,34.566,73.054,0
gcp-cost-021-00296,2026-04-26,project-07,compute,us-central1,prod,finops,security,28.438,12.442,0.689,178.085,89.07,1
gcp-cost-021-00297,2026-04-27,project-07,pubsub,europe-west1,staging,data,security,71.444,4.022,0.555,134.321,73.404,1
gcp-cost-021-00298,2026-04-28,project-20,cloud-run,global,prod,data,latency,94.735,5.889,0.402,157.926,83.999,1
gcp-cost-021-00299,2026-04-29,project-01,cloud-sql,us-east1,sandbox,finops,security,25.27,13.403,0.742,151.001,88.109,1
gcp-cost-021-00300,2026-04-30,project-04,cloud-sql,europe-west1,prod,mlops,reliability,44.297,22.855,0.391,172.07,100,1
gcp-cost-021-00301,2026-05-01,project-20,compute,asia-south1,staging,mlops,quality,61.1,8.101,0.81,195.933,97.211,1
gcp-cost-021-00302,2026-05-02,project-22,cloud-sql,europe-west1,prod,finops,quality,65.189,7.539,0.155,130.739,64.898,1
gcp-cost-021-00303,2026-05-03,project-18,vertex-ai,us-east1,dev,finops,latency,74.811,12.068,0.598,2.368,75.618,0
gcp-cost-021-00304,2026-05-04,project-05,gke,asia-south1,dev,finops,reliability,25.494,6.004,0.484,120.771,57.485,0
gcp-cost-021-00305,2026-05-05,project-22,cloud-run,europe-west1,prod,finops,quality,40.757,13.035,0.761,35.935,76.555,1
gcp-cost-021-00306,2026-05-06,project-15,cloud-run,asia-south1,sandbox,backend,security,42.189,10.163,0.608,130.643,78.812,1
gcp-cost-021-00307,2026-05-07,project-19,cloud-run,us-east1,sandbox,data,latency,46.471,10.283,0.42,143.279,75.853,1
gcp-cost-021-00308,2026-05-08,project-10,cloud-run,global,prod,platform,reliability,50.967,7.409,0.483,119.291,69.428,1
gcp-cost-021-00309,2026-05-09,project-17,cloud-sql,global,staging,finops,cost,42.611,13.332,0.381,126.576,77.816,1
gcp-cost-021-00310,2026-05-10,project-03,gke,us-central1,staging,finops,reliability,29.221,9.031,0.766,123.089,76.06,1
gcp-cost-021-00311,2026-05-11,project-02,cloud-sql,us-central1,prod,backend,latency,49.394,3.31,0.571,110.593,61.124,0
gcp-cost-021-00312,2026-05-12,project-14,pubsub,europe-west1,prod,platform,cost,75.103,3.745,0.599,191.965,83.984,1
gcp-cost-021-00313,2026-05-13,project-05,cloud-sql,asia-south1,prod,mlops,reliability,85.131,17.299,0.468,177.95,100,1
gcp-cost-021-00314,2026-05-14,project-03,cloud-sql,us-central1,staging,data,quality,58.49,16.658,0.8,196.606,100,1
gcp-cost-021-00315,2026-05-15,project-14,gke,asia-south1,prod,platform,security,100.261,8.191,0.298,228.704,97.986,1
gcp-cost-021-00316,2026-05-16,project-24,bigquery,europe-west1,prod,finops,cost,68.369,11.791,0.612,174.937,98.373,1
gcp-cost-021-00317,2026-05-17,project-23,gke,us-east1,prod,platform,security,57.078,7.036,0.23,97.16,58.614,0
gcp-cost-021-00318,2026-05-18,project-23,gke,us-east1,dev,finops,latency,47.597,5.899,0.878,85.377,73.604,0
gcp-cost-021-00319,2026-05-19,project-15,pubsub,europe-west1,staging,platform,cost,33.38,6.93,0.499,51.009,52.757,0
gcp-cost-021-00320,2026-05-20,project-10,gke,us-central1,staging,platform,security,61.732,3.273,0.427,83.219,56.324,0
gcp-cost-021-00321,2026-05-21,project-06,vertex-ai,asia-south1,staging,security,cost,43.909,13.504,0.613,129.365,87.198,1
gcp-cost-021-00322,2026-05-22,project-05,bigquery,us-central1,prod,mlops,latency,39.051,16.032,0.483,149.691,89.811,1
gcp-cost-021-00323,2026-05-23,project-13,cloud-sql,asia-south1,dev,security,reliability,52.138,7.984,0.486,30.759,58.373,0
gcp-cost-021-00324,2026-05-24,project-14,cloud-sql,global,sandbox,finops,security,75.631,5.975,0.583,125.683,79.146,1
gcp-cost-021-00325,2026-05-25,project-05,gke,asia-south1,staging,mlops,security,56.699,5.832,0.387,238.395,81.764,1
gcp-cost-021-00326,2026-05-26,project-02,cloud-sql,europe-west1,staging,finops,latency,31.37,5.247,0.616,41.544,50.841,0
gcp-cost-021-00327,2026-05-27,project-21,cloud-sql,us-central1,staging,finops,security,54.734,8.384,0.28,156.008,71.271,1
gcp-cost-021-00328,2026-05-28,project-22,vertex-ai,global,prod,data,cost,56.596,7.933,0.52,85.773,69.027,1
gcp-cost-021-00329,2026-05-29,project-19,pubsub,global,staging,finops,latency,19.415,15.607,0.678,115.169,83.737,1
gcp-cost-021-00330,2026-05-30,project-04,pubsub,us-east1,prod,finops,quality,52.021,19.197,0.348,92.479,88.667,1
gcp-cost-021-00331,2026-05-31,project-19,bigquery,us-central1,staging,backend,cost,57.429,13.989,0.795,123.278,98.544,1
gcp-cost-021-00332,2026-06-01,project-02,vertex-ai,global,staging,backend,latency,27.387,2.44,0.505,67.738,42.832,0
gcp-cost-021-00333,2026-06-02,project-13,vertex-ai,global,prod,backend,latency,74.767,7.85,0.495,100.185,76.42,1
gcp-cost-021-00334,2026-06-03,project-01,gke,us-east1,prod,platform,security,64.388,12.067,0.557,120.928,87.822,1
gcp-cost-021-00335,2026-06-04,project-13,cloud-sql,us-central1,dev,data,reliability,62.999,18.83,0.489,44.315,89.564,1
gcp-cost-021-00336,2026-06-05,project-23,cloud-run,us-central1,dev,finops,quality,33.771,13.974,0.234,163.357,76.439,1
gcp-cost-021-00337,2026-06-06,project-13,pubsub,us-east1,dev,data,quality,43.429,9.088,0.809,220.025,96.807,1
gcp-cost-021-00338,2026-06-07,project-21,gke,europe-west1,prod,backend,reliability,66.742,13.286,0.404,77.45,79.795,1
gcp-cost-021-00339,2026-06-08,project-20,cloud-sql,us-east1,dev,mlops,cost,15.457,11.221,0.502,62.566,58.286,0
gcp-cost-021-00340,2026-06-09,project-23,cloud-sql,europe-west1,prod,backend,cost,52.642,7.391,1.012,144.742,92.199,1
gcp-cost-021-00341,2026-06-10,project-12,cloud-run,europe-west1,sandbox,backend,quality,35.027,8.277,0.605,102.37,67.676,0
gcp-cost-021-00342,2026-06-11,project-13,vertex-ai,us-central1,sandbox,security,cost,37.95,8.367,0.259,170.507,66.736,1
gcp-cost-021-00343,2026-06-12,project-24,cloud-run,us-east1,prod,platform,cost,54.249,13.937,0.409,107.034,81.431,1
gcp-cost-021-00344,2026-06-13,project-15,vertex-ai,asia-south1,sandbox,data,cost,48.866,8.548,0.491,62.366,63.328,1
gcp-cost-021-00345,2026-06-14,project-24,cloud-run,europe-west1,sandbox,platform,cost,63.612,17.865,0.522,97.823,96.485,1
gcp-cost-021-00346,2026-06-15,project-18,gke,asia-south1,prod,security,quality,94.145,5.801,0.357,196.809,87.683,1
gcp-cost-021-00347,2026-06-16,project-13,compute,global,prod,mlops,security,46.799,21.518,0.65,90.776,100,1
gcp-cost-021-00348,2026-06-17,project-24,cloud-sql,asia-south1,staging,platform,reliability,54.066,5.538,0.859,130.279,80.909,1
gcp-cost-021-00349,2026-06-18,project-06,cloud-run,us-central1,staging,security,latency,76.596,17.47,0.617,62.478,98.278,1
gcp-cost-021-00350,2026-06-19,project-15,pubsub,asia-south1,dev,backend,cost,27.483,5.45,0.704,73.583,57.707,0
gcp-cost-021-00351,2026-06-20,project-03,pubsub,global,sandbox,mlops,reliability,47.549,13.935,0.95,257.604,100,1
gcp-cost-021-00352,2026-06-21,project-17,cloud-sql,us-east1,dev,security,quality,36.38,9.205,0.659,67.718,67.152,1
gcp-cost-021-00353,2026-06-22,project-06,cloud-sql,us-central1,prod,mlops,security,39.922,14.581,0.459,153.129,86.391,1
gcp-cost-021-00354,2026-06-23,project-04,pubsub,us-east1,dev,platform,latency,0.0,4.815,0.724,140.615,57.081,0
gcp-cost-021-00355,2026-06-24,project-19,compute,us-central1,dev,mlops,security,70.942,11.459,0.269,103.016,76.006,1
gcp-cost-021-00356,2026-06-25,project-13,vertex-ai,europe-west1,prod,mlops,latency,68.603,2.402,0.482,86.092,59.041,0
gcp-cost-021-00357,2026-06-26,project-02,cloud-sql,asia-south1,prod,security,quality,45.28,15.819,0.643,68.863,85.307,1
gcp-cost-021-00358,2026-06-27,project-12,vertex-ai,asia-south1,prod,finops,cost,63.483,7.618,0.81,38.3,73.93,1
gcp-cost-021-00359,2026-06-28,project-12,vertex-ai,europe-west1,prod,data,latency,56.094,8.932,0.899,122.034,89.736,1
gcp-cost-021-00360,2026-06-29,project-10,vertex-ai,global,dev,platform,security,20.736,14.608,0.404,183.96,82.31,1
gcp-cost-021-00361,2026-01-01,project-18,gke,asia-south1,staging,backend,quality,53.85,9.171,0.599,104.88,76.506,1
gcp-cost-021-00362,2026-01-02,project-06,vertex-ai,europe-west1,prod,finops,quality,60.809,12.886,0.434,226.192,99.527,1
gcp-cost-021-00363,2026-01-03,project-10,compute,asia-south1,sandbox,mlops,reliability,29.404,5.439,0.458,61.883,48.037,0
gcp-cost-021-00364,2026-01-04,project-06,cloud-sql,us-east1,prod,finops,security,56.575,3.703,0.363,118.778,58.468,0
gcp-cost-021-00365,2026-01-05,project-12,vertex-ai,global,staging,data,latency,41.978,7.891,0.616,125.15,72.916,1
gcp-cost-021-00366,2026-01-06,project-05,cloud-run,global,staging,backend,quality,61.478,5.927,0.703,112.128,76.304,1
gcp-cost-021-00367,2026-01-07,project-15,compute,us-east1,prod,mlops,quality,62.05,13.978,0.484,40.019,77.109,1
gcp-cost-021-00368,2026-01-08,project-18,cloud-sql,us-central1,prod,finops,quality,78.066,8.94,0.567,119.7,85.484,1
gcp-cost-021-00369,2026-01-09,project-04,vertex-ai,europe-west1,prod,finops,reliability,70.44,6.219,0.273,49.088,55.879,0
gcp-cost-021-00370,2026-01-10,project-17,cloud-sql,us-east1,sandbox,finops,quality,27.375,10.476,0.554,221.212,85.675,1
gcp-cost-021-00371,2026-01-11,project-23,pubsub,europe-west1,dev,security,cost,51.831,13.245,0.731,108.554,90.462,1
gcp-cost-021-00372,2026-01-12,project-15,cloud-sql,global,staging,platform,reliability,21.546,8.401,0.643,89.662,62.724,0
gcp-cost-021-00373,2026-01-13,project-24,cloud-sql,us-central1,sandbox,data,security,39.903,14.145,0.441,109.108,78.318,1
gcp-cost-021-00374,2026-01-14,project-02,cloud-sql,global,prod,data,security,40.926,9.466,0.506,141.375,74.739,1
gcp-cost-021-00375,2026-01-15,project-13,cloud-sql,asia-south1,staging,data,quality,36.899,10.405,0.622,59.379,67.622,1
gcp-cost-021-00376,2026-01-16,project-07,vertex-ai,us-east1,dev,security,quality,36.413,3.051,0.329,105.746,46.8,0
gcp-cost-021-00377,2026-01-17,project-05,cloud-sql,asia-south1,prod,data,quality,76.478,12.758,0.486,102.027,88.425,1
gcp-cost-021-00378,2026-01-18,project-14,pubsub,europe-west1,sandbox,platform,reliability,33.114,15.769,0.339,69.15,70.334,1
gcp-cost-021-00379,2026-01-19,project-14,bigquery,global,dev,security,security,65.531,8.661,0.366,63.29,65.185,0
gcp-cost-021-00380,2026-01-20,project-01,vertex-ai,us-central1,prod,platform,quality,79.547,7.452,0.634,120.972,85.061,1
gcp-cost-021-00381,2026-01-21,project-08,cloud-sql,asia-south1,prod,finops,reliability,74.968,11.675,0.454,66.237,79.03,1
gcp-cost-021-00382,2026-01-22,project-08,bigquery,global,dev,data,security,24.276,7.431,0.597,165.532,70.871,0
gcp-cost-021-00383,2026-01-23,project-18,vertex-ai,asia-south1,dev,platform,latency,39.057,9.409,0.436,138.4,71.068,1
gcp-cost-021-00384,2026-01-24,project-02,cloud-run,us-east1,prod,finops,cost,77.204,12.648,0.608,132.927,97.199,1
gcp-cost-021-00385,2026-01-25,project-16,bigquery,asia-south1,prod,security,reliability,82.826,4.309,0.571,128.304,77.739,1
gcp-cost-021-00386,2026-01-26,project-03,cloud-sql,global,prod,data,cost,73.632,4.882,0.864,226.426,100,1
gcp-cost-021-00387,2026-01-27,project-19,compute,europe-west1,sandbox,data,quality,29.51,3.507,0.868,139.454,69.229,0
gcp-cost-021-00388,2026-01-28,project-06,gke,us-central1,prod,security,reliability,32.915,11.249,0.606,111.877,75.293,0
gcp-cost-021-00389,2026-01-29,project-14,bigquery,us-central1,prod,security,cost,72.799,6.587,0.421,91.738,68.963,1
gcp-cost-021-00390,2026-01-30,project-03,compute,global,staging,finops,cost,64.2,12.373,0.743,74.952,88.276,1
gcp-cost-021-00391,2026-01-31,project-13,compute,europe-west1,sandbox,backend,quality,38.091,8.606,0.863,174.153,89.015,1
gcp-cost-021-00392,2026-02-01,project-24,bigquery,asia-south1,prod,security,reliability,74.082,4.316,0.452,182.58,78.446,1
gcp-cost-021-00393,2026-02-02,project-15,gke,us-east1,dev,finops,security,35.069,7.213,0.942,139.191,82.373,1
gcp-cost-021-00394,2026-02-03,project-19,pubsub,asia-south1,sandbox,security,quality,63.504,5.896,0.295,1.14,46.475,0
gcp-cost-021-00395,2026-02-04,project-02,bigquery,us-central1,prod,platform,latency,73.488,11.69,0.379,122.744,84.163,1
gcp-cost-021-00396,2026-02-05,project-07,gke,us-central1,sandbox,security,security,20.972,19.507,0.639,114.524,91.923,1
gcp-cost-021-00397,2026-02-06,project-15,cloud-sql,asia-south1,prod,platform,reliability,66.031,8.525,0.51,126.838,79.35,1
gcp-cost-021-00398,2026-02-07,project-24,cloud-run,asia-south1,dev,platform,latency,43.501,6.699,0.645,144.556,74.512,1
gcp-cost-021-00399,2026-02-08,project-05,gke,europe-west1,prod,data,reliability,77.753,9.871,0.419,198.27,93.825,1
gcp-cost-021-00400,2026-02-09,project-07,bigquery,asia-south1,prod,security,quality,90.041,3.405,0.375,209.622,83.154,1
gcp-cost-021-00401,2026-02-10,project-05,cloud-run,asia-south1,prod,finops,quality,66.526,13.376,0.572,130.663,93.57,1
gcp-cost-021-00402,2026-02-11,project-16,cloud-sql,asia-south1,prod,data,latency,67.873,12.336,0.98,63.279,96.068,1
gcp-cost-021-00403,2026-02-12,project-06,pubsub,global,dev,finops,quality,21.229,16.659,0.545,168.632,89.968,1
gcp-cost-021-00404,2026-02-13,project-11,bigquery,asia-south1,dev,platform,security,36.183,9.058,0.544,124.531,71.0,1
gcp-cost-021-00405,2026-02-14,project-07,pubsub,us-east1,dev,backend,cost,31.009,11.596,0.645,97.282,74.672,0
gcp-cost-021-00406,2026-02-15,project-06,cloud-sql,us-central1,prod,finops,latency,78.404,6.222,0.806,117.321,87.279,1
gcp-cost-021-00407,2026-02-16,project-11,bigquery,us-east1,dev,security,security,25.316,16.819,0.622,110.671,86.014,1
gcp-cost-021-00408,2026-02-17,project-10,cloud-sql,us-central1,prod,security,security,76.293,10.281,0.735,54.644,84.385,1
gcp-cost-021-00409,2026-02-18,project-08,bigquery,asia-south1,prod,mlops,latency,81.377,9.027,0.393,147.313,84.783,1
gcp-cost-021-00410,2026-02-19,project-08,gke,europe-west1,prod,mlops,cost,76.524,16.827,0.891,100.604,100,1
gcp-cost-021-00411,2026-02-20,project-15,bigquery,us-central1,prod,data,quality,64.141,5.925,0.304,77.546,58.223,0
gcp-cost-021-00412,2026-02-21,project-17,cloud-run,asia-south1,prod,finops,quality,55.409,12.408,0.593,136.926,89.069,1
gcp-cost-021-00413,2026-02-22,project-09,pubsub,us-east1,prod,finops,quality,55.142,9.515,0.469,91.496,71.26,0
gcp-cost-021-00414,2026-02-23,project-05,compute,us-central1,dev,platform,security,34.657,6.941,0.503,68.082,55.859,0
gcp-cost-021-00415,2026-02-24,project-11,bigquery,global,staging,finops,reliability,38.563,10.915,0.739,71.29,75.227,1
gcp-cost-021-00416,2026-02-25,project-17,pubsub,asia-south1,sandbox,finops,cost,76.752,7.748,0.395,104.632,74.026,0
gcp-cost-021-00417,2026-02-26,project-04,gke,global,prod,mlops,reliability,60.173,7.437,0.614,151.64,82.018,1
gcp-cost-021-00418,2026-02-27,project-09,vertex-ai,global,prod,platform,security,63.069,5.323,0.822,81.013,75.079,1
gcp-cost-021-00419,2026-02-28,project-15,cloud-run,us-central1,prod,finops,security,60.221,8.278,0.538,109.559,75.2,1
gcp-cost-021-00420,2026-03-01,project-08,cloud-run,europe-west1,prod,security,reliability,90.658,8.227,0.623,231.076,100,1
gcp-cost-021-00421,2026-03-02,project-02,cloud-sql,asia-south1,dev,platform,reliability,43.307,12.234,0.581,49.357,71.236,1
gcp-cost-021-00422,2026-03-03,project-10,gke,us-central1,prod,data,reliability,64.881,4.049,0.525,112.087,66.877,1
gcp-cost-021-00423,2026-03-04,project-08,bigquery,us-central1,prod,data,cost,66.557,12.22,0.616,77.346,84.648,1
gcp-cost-021-00424,2026-03-05,project-01,cloud-run,global,dev,mlops,security,32.426,11.556,0.719,71.915,73.966,1
gcp-cost-021-00425,2026-03-06,project-06,vertex-ai,us-central1,dev,backend,reliability,42.112,6.45,0.458,175.758,71.451,1
gcp-cost-021-00426,2026-03-07,project-07,pubsub,global,dev,security,latency,37.287,14.7,0.446,100.874,77.671,1
gcp-cost-021-00427,2026-03-08,project-06,cloud-sql,us-east1,staging,finops,security,17.868,5.389,0.722,100.276,58.722,0
gcp-cost-021-00428,2026-03-09,project-03,cloud-sql,us-east1,prod,finops,cost,72.963,5.904,0.317,87.255,63.133,0
gcp-cost-021-00429,2026-03-10,project-01,pubsub,europe-west1,prod,backend,security,99.879,8.267,0.506,127.825,90.598,1
gcp-cost-021-00430,2026-03-11,project-20,bigquery,us-east1,prod,security,reliability,75.901,2.832,0.728,78.025,70.032,0
gcp-cost-021-00431,2026-03-12,project-01,vertex-ai,us-central1,prod,data,security,39.037,7.759,0.698,148.108,77.796,1
gcp-cost-021-00432,2026-03-13,project-18,cloud-run,asia-south1,prod,security,cost,43.813,6.503,0.493,145.414,68.969,1
gcp-cost-021-00433,2026-03-14,project-23,bigquery,us-east1,sandbox,mlops,latency,53.464,6.962,0.293,105.092,60.538,0
