evaluation_id,evaluation_timestamp,question_domain,prompt_template_version,model_name,retrieval_top_k,retrieved_context_count,context_relevance_score,groundedness_score,answer_similarity_score,citation_coverage_pct,response_latency_ms,input_tokens,output_tokens,estimated_cost_usd,hallucination_flag,evaluation_passed
rag-eval-002839,2026-01-22T16:18:00+00:00,security,v3,claude-haiku,3,3,0.87,0.81,0.931,89.22,1235,1049,529,0.00482,0,1
rag-eval-002840,2026-01-22T16:29:00+00:00,bigquery,v1,claude-haiku,3,2,0.792,0.806,0.917,64.49,966,848,394,0.00284,0,1
rag-eval-002841,2026-01-22T16:40:00+00:00,monitoring,v1,openai-gpt-4o-mini,5,2,0.406,0.009,0.038,0,1394,752,391,0.00112,1,0
rag-eval-002842,2026-01-22T16:51:00+00:00,terraform,v3,gemini-1.5-pro,8,9,0.413,0.478,0.518,51.39,1164,1222,462,0.00431,1,0
rag-eval-002843,2026-01-22T17:02:00+00:00,gke,v2,openai-gpt-4o-mini,8,5,0.591,0.791,0.951,75.07,1331,1306,391,0.00264,0,1
rag-eval-002844,2026-01-22T17:13:00+00:00,terraform,v2,openai-gpt-4o-mini,3,1,0.882,0.982,1,86.74,785,855,459,0.00276,0,1
rag-eval-002845,2026-01-22T17:24:00+00:00,cloud-run,v1,gemini-1.5-flash,3,1,0.811,0.597,0.733,64.67,899,894,428,0.00368,0,0
rag-eval-002846,2026-01-22T17:35:00+00:00,bigquery,v2,claude-haiku,10,8,0.801,0.887,0.945,100,1470,1065,597,0.00339,0,1
rag-eval-002847,2026-01-22T17:46:00+00:00,vertex-ai,v1,gemini-1.5-pro,8,8,0.903,0.941,1,81.09,1555,1132,551,0.00146,0,1
rag-eval-002848,2026-01-22T17:57:00+00:00,bigquery,v2,gemini-1.5-flash,8,7,0.765,0.949,1,99.6,1335,1761,790,0.00059,0,1
rag-eval-002849,2026-01-22T18:08:00+00:00,monitoring,v3,openai-gpt-4o-mini,10,10,0.858,0.956,0.974,100,1737,1608,736,0.0042,0,1
rag-eval-002850,2026-01-22T18:19:00+00:00,cloud-run,v2,claude-haiku,10,9,0.574,0.682,0.59,73.56,1511,1354,827,0.00156,0,1
rag-eval-002851,2026-01-22T18:30:00+00:00,security,v2,claude-haiku,5,2,0.607,0.713,0.789,79.91,1516,726,330,0.00227,0,1
rag-eval-002852,2026-01-22T18:41:00+00:00,vertex-ai,v2,claude-haiku,5,4,0.874,0.988,1,95.48,1181,801,505,0.00293,0,1
rag-eval-002853,2026-01-22T18:52:00+00:00,vertex-ai,v2,openai-gpt-4o-mini,8,6,0.804,0.847,0.943,81.87,1209,1325,484,0.00628,0,1
rag-eval-002854,2026-01-22T19:03:00+00:00,cloud-run,v3,claude-haiku,10,11,0.766,0.762,0.828,67.81,953,1539,638,0.00416,0,1
rag-eval-002855,2026-01-22T19:14:00+00:00,vertex-ai,v3,claude-haiku,5,5,0.714,0.954,1,100,1441,781,401,0.00097,0,1
rag-eval-002856,2026-01-22T19:25:00+00:00,gke,v1,gemini-1.5-flash,5,3,0.716,0.96,0.886,85.03,1344,647,407,0.00358,0,1
rag-eval-002857,2026-01-22T19:36:00+00:00,bigquery,v1,gemini-1.5-pro,5,4,0.47,0.499,0.367,39.81,1038,718,460,0.00274,1,0
rag-eval-002858,2026-01-22T19:47:00+00:00,security,v2,claude-haiku,8,8,0.836,1,0.988,100,1026,1422,684,0.00456,1,0
rag-eval-002859,2026-01-22T19:58:00+00:00,security,v3,gemini-1.5-pro,8,6,0.655,0.562,0.577,62.65,1320,1341,587,0.00158,0,0
rag-eval-002860,2026-01-22T20:09:00+00:00,vertex-ai,v3,gemini-1.5-flash,8,9,0.259,0.462,0.502,44.82,1357,1109,413,0.00094,1,0
rag-eval-002861,2026-01-22T20:20:00+00:00,security,v2,openai-gpt-4o-mini,8,5,0.769,0.948,0.768,86.56,1610,1343,432,0.00377,0,1
rag-eval-002862,2026-01-22T20:31:00+00:00,terraform,v2,gemini-1.5-pro,3,1,0.851,0.935,0.964,90.54,1222,843,493,0.00104,0,1
rag-eval-002863,2026-01-22T20:42:00+00:00,gke,v1,claude-haiku,3,2,0.764,0.629,0.952,77.87,661,793,385,0.00051,0,0
rag-eval-002864,2026-01-22T20:53:00+00:00,cloud-run,v1,gemini-1.5-pro,10,8,0.654,0.802,0.904,100,1231,1546,855,0.0066,0,1
rag-eval-002865,2026-01-22T21:04:00+00:00,bigquery,v2,claude-haiku,3,1,0.596,0.474,0.357,48.09,953,659,218,0.0018,1,0
rag-eval-002866,2026-01-22T21:15:00+00:00,gke,v2,gemini-1.5-pro,8,9,0.621,0.611,0.494,67.98,1277,1659,632,0.0056,0,0
rag-eval-002867,2026-01-22T21:26:00+00:00,vertex-ai,v1,gemini-1.5-pro,8,6,0.367,0.683,0.59,66.97,1155,1253,669,0.00161,1,0
rag-eval-002868,2026-01-22T21:37:00+00:00,bigquery,v2,gemini-1.5-flash,10,7,0.613,0.697,0.799,64.11,1289,1097,602,0.00323,0,1
rag-eval-002869,2026-01-22T21:48:00+00:00,bigquery,v2,gemini-1.5-flash,8,7,0.956,0.829,0.691,85.31,1744,1202,487,0.00134,0,1
rag-eval-002870,2026-01-22T21:59:00+00:00,terraform,v3,claude-haiku,8,8,0.845,0.652,0.69,50.06,1324,1026,342,0.0005,0,1
rag-eval-002871,2026-01-22T22:10:00+00:00,terraform,v3,gemini-1.5-flash,3,1,0.81,0.77,0.845,70.29,926,583,335,0.00185,0,1
rag-eval-002872,2026-01-22T22:21:00+00:00,gke,v3,claude-haiku,8,6,0.543,0.449,0.401,17.22,1673,757,358,0.00148,1,0
rag-eval-002873,2026-01-22T22:32:00+00:00,security,v3,gemini-1.5-pro,10,10,1,1,1,95.76,1329,1490,755,0.00568,0,1
rag-eval-002874,2026-01-22T22:43:00+00:00,monitoring,v1,gemini-1.5-pro,5,3,0.878,0.617,0.61,73.26,1505,943,512,0.00399,0,0
rag-eval-002875,2026-01-22T22:54:00+00:00,terraform,v1,gemini-1.5-flash,3,1,0.654,0.734,0.492,63.28,1385,498,281,0.00113,0,1
rag-eval-002876,2026-01-22T23:05:00+00:00,cloud-run,v2,openai-gpt-4o-mini,3,4,0.643,0.636,0.555,60.27,1068,576,284,0.00023,0,0
rag-eval-002877,2026-01-22T23:16:00+00:00,gke,v3,gemini-1.5-flash,8,5,0.54,0.336,0.185,38.49,720,1320,512,0.00044,1,0
rag-eval-002878,2026-01-22T23:27:00+00:00,vertex-ai,v1,openai-gpt-4o-mini,10,9,0.703,0.632,0.683,44.3,1572,1648,818,0.00334,0,0
rag-eval-002879,2026-01-22T23:38:00+00:00,security,v2,claude-haiku,3,3,0.734,0.618,0.595,45.78,1499,538,211,0.00119,0,0
rag-eval-002880,2026-01-22T23:49:00+00:00,terraform,v1,gemini-1.5-flash,8,9,0.652,0.678,0.654,57.6,2019,1644,542,0.00584,1,0
rag-eval-002881,2026-01-23T00:00:00+00:00,gke,v3,claude-haiku,10,12,0.653,0.664,0.517,74.16,1463,1504,552,0.0053,0,1
rag-eval-002882,2026-01-23T00:11:00+00:00,monitoring,v2,claude-haiku,10,12,0.635,0.749,0.814,54.11,905,1688,812,0.00491,0,1
rag-eval-002883,2026-01-23T00:22:00+00:00,cloud-run,v1,gemini-1.5-pro,3,3,0.532,0.43,0.459,34.72,904,803,255,0.00104,1,0
rag-eval-002884,2026-01-23T00:33:00+00:00,gke,v2,claude-haiku,8,7,0.905,0.867,0.817,82.06,1076,709,544,0.00411,0,1
rag-eval-002885,2026-01-23T00:44:00+00:00,bigquery,v1,gemini-1.5-pro,5,3,0.818,0.73,0.989,51.65,1067,1258,492,0.00148,1,0
rag-eval-002886,2026-01-23T00:55:00+00:00,gke,v1,gemini-1.5-flash,3,1,0.211,0.188,0.043,26.11,1221,387,167,0.00157,1,0
rag-eval-002887,2026-01-23T01:06:00+00:00,security,v1,gemini-1.5-flash,3,2,0.473,0.535,0.735,45.03,996,732,266,0.00354,1,0
rag-eval-002888,2026-01-23T01:17:00+00:00,monitoring,v2,gemini-1.5-flash,8,7,0.413,0.333,0.418,33.48,1229,1261,491,0.00572,1,0
rag-eval-002889,2026-01-23T01:28:00+00:00,gke,v2,gemini-1.5-pro,5,1,0.778,0.867,0.922,90.2,713,788,501,0.00065,0,1
rag-eval-002890,2026-01-23T01:39:00+00:00,monitoring,v3,claude-haiku,10,7,0.74,0.729,0.749,83.68,1194,1318,610,0.00627,0,1
rag-eval-002891,2026-01-23T01:50:00+00:00,monitoring,v1,gemini-1.5-flash,10,10,0.883,1,0.884,95.04,1349,1606,813,0.00584,0,1
rag-eval-002892,2026-01-23T02:01:00+00:00,gke,v2,gemini-1.5-flash,3,3,0.65,0.737,0.411,58.45,1468,950,487,0.00373,0,1
rag-eval-002893,2026-01-23T02:12:00+00:00,monitoring,v1,gemini-1.5-pro,5,3,0.538,0.356,0.297,37.45,1050,988,422,0.0042,1,0
rag-eval-002894,2026-01-23T02:23:00+00:00,terraform,v1,gemini-1.5-flash,10,10,0.707,0.636,0.614,67.38,2135,1345,427,0.00073,0,0
rag-eval-002895,2026-01-23T02:34:00+00:00,security,v2,gemini-1.5-pro,8,6,0.901,1,1,100,1201,782,514,0.00464,0,1
rag-eval-002896,2026-01-23T02:45:00+00:00,security,v2,openai-gpt-4o-mini,8,6,0.409,0.651,0.871,97.25,984,1098,367,0.00459,1,0
rag-eval-002897,2026-01-23T02:56:00+00:00,gke,v3,gemini-1.5-flash,5,4,0.739,0.716,0.766,85.43,915,1168,397,0.00102,0,1
rag-eval-002898,2026-01-23T03:07:00+00:00,security,v1,openai-gpt-4o-mini,10,8,1,0.903,0.828,93.98,1588,1390,601,0.00554,0,1
rag-eval-002899,2026-01-23T03:18:00+00:00,monitoring,v3,gemini-1.5-flash,3,2,1,1,1,100,941,744,387,0.00209,0,1
rag-eval-002900,2026-01-23T03:29:00+00:00,security,v2,gemini-1.5-pro,3,1,1,0.976,1,100,1546,836,390,0.00359,0,1
rag-eval-002901,2026-01-23T03:40:00+00:00,cloud-run,v3,gemini-1.5-pro,3,3,0.924,1,1,100,971,660,249,0.00156,0,1
rag-eval-002902,2026-01-23T03:51:00+00:00,security,v3,gemini-1.5-flash,10,8,0.797,1,0.987,85.24,1355,1638,891,0.00656,0,1
rag-eval-002903,2026-01-23T04:02:00+00:00,terraform,v2,gemini-1.5-flash,10,10,0.628,0.726,0.821,74.79,1465,1287,604,0.00644,1,0
rag-eval-002904,2026-01-23T04:13:00+00:00,bigquery,v3,gemini-1.5-pro,3,1,0.729,0.884,0.819,73.56,1033,547,390,0.0026,0,1
rag-eval-002905,2026-01-23T04:24:00+00:00,bigquery,v2,gemini-1.5-flash,10,8,0.932,1,1,100,1360,1332,756,0.0046,0,1
rag-eval-002906,2026-01-23T04:35:00+00:00,security,v1,gemini-1.5-flash,10,9,0.712,0.77,0.7,91.17,1136,1236,639,0.0057,0,1
rag-eval-002907,2026-01-23T04:46:00+00:00,cloud-run,v1,gemini-1.5-flash,5,4,0.75,0.696,0.684,54.26,1069,746,283,0.00119,0,1
rag-eval-002908,2026-01-23T04:57:00+00:00,terraform,v1,gemini-1.5-flash,3,1,0.754,1,0.877,97.42,1032,909,380,0.00412,0,1
rag-eval-002909,2026-01-23T05:08:00+00:00,security,v2,openai-gpt-4o-mini,5,3,0.995,0.945,1,86.3,1262,780,392,0.00336,0,1
rag-eval-002910,2026-01-23T05:19:00+00:00,vertex-ai,v1,gemini-1.5-pro,5,5,0.442,0.333,0.109,32.63,1321,685,369,0.00085,1,0
rag-eval-002911,2026-01-23T05:30:00+00:00,vertex-ai,v1,gemini-1.5-pro,3,2,0.601,0.688,0.753,74.5,948,709,413,0.00335,0,1
rag-eval-002912,2026-01-23T05:41:00+00:00,monitoring,v1,gemini-1.5-flash,8,5,0.282,0.395,0.35,34.17,1330,1124,393,0.00358,1,0
rag-eval-002913,2026-01-23T05:52:00+00:00,terraform,v2,claude-haiku,8,5,0.732,1,1,100,1181,1207,546,0.00048,0,1
rag-eval-002914,2026-01-23T06:03:00+00:00,security,v3,claude-haiku,3,2,0.779,0.722,0.739,87.54,989,777,392,0.00305,0,1
rag-eval-002915,2026-01-23T06:14:00+00:00,monitoring,v1,claude-haiku,8,5,0.79,1,1,98.58,1265,711,444,0.00192,0,1
rag-eval-002916,2026-01-23T06:25:00+00:00,cloud-run,v2,claude-haiku,8,6,1,1,0.932,100,1065,832,471,0.00295,0,1
rag-eval-002917,2026-01-23T06:36:00+00:00,gke,v2,openai-gpt-4o-mini,3,1,0.785,0.556,0.589,61.88,1277,679,328,0.00247,0,0
rag-eval-002918,2026-01-23T06:47:00+00:00,monitoring,v2,gemini-1.5-pro,8,6,0.35,0.544,0.652,27.34,1231,1384,710,0.0046,1,0
rag-eval-002919,2026-01-23T06:58:00+00:00,terraform,v3,claude-haiku,5,4,0.971,0.849,0.936,84.59,1410,1186,569,0.00563,0,1
rag-eval-002920,2026-01-23T07:09:00+00:00,monitoring,v2,claude-haiku,5,2,0.862,0.86,0.99,87.25,1197,793,529,0.00173,0,1
rag-eval-002921,2026-01-23T07:20:00+00:00,bigquery,v2,claude-haiku,5,3,0.739,0.774,0.814,77.25,1459,845,523,0.0037,0,1
rag-eval-002922,2026-01-23T07:31:00+00:00,terraform,v2,gemini-1.5-pro,8,6,0.723,0.912,0.901,81.4,1539,1205,363,0.00359,0,1
rag-eval-002923,2026-01-23T07:42:00+00:00,gke,v3,gemini-1.5-pro,8,8,0.961,1,0.997,88.52,1001,897,415,0.00239,0,1
rag-eval-002924,2026-01-23T07:53:00+00:00,cloud-run,v1,openai-gpt-4o-mini,5,4,0.625,0.491,0.493,72.66,806,773,308,0.00249,1,0
rag-eval-002925,2026-01-23T08:04:00+00:00,cloud-run,v1,gemini-1.5-flash,3,1,0.802,0.867,0.73,76.02,883,632,428,0.00288,0,1
rag-eval-002926,2026-01-23T08:15:00+00:00,cloud-run,v2,gemini-1.5-flash,8,6,0.669,0.671,0.653,69.65,948,1282,697,0.00031,0,1
rag-eval-002927,2026-01-23T08:26:00+00:00,vertex-ai,v3,claude-haiku,3,2,1,0.823,0.776,80.22,1275,878,323,0.00217,0,1
rag-eval-002928,2026-01-23T08:37:00+00:00,security,v1,gemini-1.5-pro,5,2,0.818,1,1,100,1103,1199,355,0.00497,0,1
rag-eval-002929,2026-01-23T08:48:00+00:00,security,v3,gemini-1.5-pro,3,2,0.634,0.764,0.725,100,1351,516,249,0.00188,0,1
rag-eval-002930,2026-01-23T08:59:00+00:00,security,v1,gemini-1.5-flash,5,3,0.769,0.844,0.829,100,1350,719,269,0.002,0,1
rag-eval-002931,2026-01-23T09:10:00+00:00,terraform,v3,gemini-1.5-pro,8,7,0.495,0.475,0.415,43.89,1489,1162,370,0.00055,1,0
rag-eval-002932,2026-01-23T09:21:00+00:00,monitoring,v3,openai-gpt-4o-mini,5,1,0.894,0.813,0.774,100,1148,779,488,0.00362,0,1
rag-eval-002933,2026-01-23T09:32:00+00:00,bigquery,v1,gemini-1.5-flash,5,6,0.853,0.896,0.74,100,1085,1154,510,0.00293,0,1
rag-eval-002934,2026-01-23T09:43:00+00:00,security,v1,claude-haiku,8,8,0.848,0.819,0.833,77.02,1542,1257,565,0.00576,0,1
rag-eval-002935,2026-01-23T09:54:00+00:00,security,v3,claude-haiku,8,5,0.549,0.619,0.538,60.47,1220,1759,460,0.00293,0,0
rag-eval-002936,2026-01-23T10:05:00+00:00,security,v1,gemini-1.5-flash,10,11,0.762,0.665,0.808,63.81,1811,924,457,0.00042,0,0
rag-eval-002937,2026-01-23T10:16:00+00:00,cloud-run,v3,claude-haiku,10,9,0.618,0.428,0.289,36.55,1734,1383,417,0.00363,1,0
rag-eval-002938,2026-01-23T10:27:00+00:00,bigquery,v2,openai-gpt-4o-mini,8,4,0.476,0.542,0.521,86.82,942,946,408,0.00306,1,0
rag-eval-002939,2026-01-23T10:38:00+00:00,monitoring,v1,openai-gpt-4o-mini,5,4,0.487,0.217,0.008,7.84,1101,1001,562,0.00128,1,0
rag-eval-002940,2026-01-23T10:49:00+00:00,monitoring,v3,openai-gpt-4o-mini,10,9,0.728,1,0.933,97.32,1412,1419,656,0.00171,0,1
rag-eval-002941,2026-01-23T11:00:00+00:00,gke,v2,gemini-1.5-pro,5,5,0.663,0.971,0.813,87.2,1208,956,296,0.00306,0,1
rag-eval-002942,2026-01-23T11:11:00+00:00,monitoring,v3,gemini-1.5-flash,8,7,0.775,0.828,1,98.09,1163,1038,655,0.00619,0,1
rag-eval-002943,2026-01-23T11:22:00+00:00,gke,v1,claude-haiku,3,1,0.641,0.894,0.963,84.63,1027,584,268,0.0011,0,1
rag-eval-002944,2026-01-23T11:33:00+00:00,vertex-ai,v3,gemini-1.5-pro,10,5,0.711,0.72,0.624,87.0,732,1455,494,0.0008,0,1
rag-eval-002945,2026-01-23T11:44:00+00:00,bigquery,v2,openai-gpt-4o-mini,8,7,0.619,0.823,0.777,87.73,1103,1155,404,0.00046,0,1
rag-eval-002946,2026-01-23T11:55:00+00:00,gke,v3,claude-haiku,10,9,0.594,0.615,0.477,78.98,1447,964,414,0.00607,0,0
rag-eval-002947,2026-01-23T12:06:00+00:00,security,v1,claude-haiku,5,4,0.834,0.924,0.787,81.07,1481,873,480,0.00426,0,1
rag-eval-002948,2026-01-23T12:17:00+00:00,terraform,v3,claude-haiku,10,9,0.753,0.528,0.406,49.39,1712,1518,679,0.00048,1,0
rag-eval-002949,2026-01-23T12:28:00+00:00,vertex-ai,v3,gemini-1.5-flash,5,3,0.981,0.995,1,90.02,1652,943,517,0.00256,0,1
rag-eval-002950,2026-01-23T12:39:00+00:00,vertex-ai,v1,claude-haiku,8,6,0.924,0.875,0.733,91.94,1093,917,253,0.00365,0,1
rag-eval-002951,2026-01-23T12:50:00+00:00,security,v2,gemini-1.5-flash,8,7,0.534,0.451,0.551,42.98,1198,1178,407,0.00578,1,0
rag-eval-002952,2026-01-23T13:01:00+00:00,cloud-run,v3,gemini-1.5-flash,8,5,0.326,0.429,0.446,34.56,1015,1327,420,0.00101,1,0
rag-eval-002953,2026-01-23T13:12:00+00:00,bigquery,v3,gemini-1.5-pro,8,6,0.904,0.858,0.798,76.94,1096,1175,469,0.00386,0,1
rag-eval-002954,2026-01-23T13:23:00+00:00,security,v1,gemini-1.5-pro,10,7,0.382,0.541,0.541,52.16,1122,1314,513,0.00509,1,0
rag-eval-002955,2026-01-23T13:34:00+00:00,terraform,v1,claude-haiku,3,1,0.947,0.851,0.899,78.82,1092,489,338,0.00052,0,1
rag-eval-002956,2026-01-23T13:45:00+00:00,gke,v3,openai-gpt-4o-mini,8,6,1,1,0.946,89.01,1343,1319,582,0.00408,0,1
rag-eval-002957,2026-01-23T13:56:00+00:00,security,v2,gemini-1.5-pro,10,8,0.855,0.827,0.916,74.63,1203,1242,701,0.00087,0,1
rag-eval-002958,2026-01-23T14:07:00+00:00,monitoring,v1,gemini-1.5-flash,3,3,0.743,0.815,0.779,74.63,1234,868,450,0.00299,0,1
rag-eval-002959,2026-01-23T14:18:00+00:00,monitoring,v3,gemini-1.5-pro,3,1,0.456,0.551,0.598,56.36,846,811,469,0.00308,1,0
rag-eval-002960,2026-01-23T14:29:00+00:00,gke,v2,claude-haiku,8,5,0.705,0.876,0.742,90.62,1406,1108,534,0.0012,0,1
rag-eval-002961,2026-01-23T14:40:00+00:00,monitoring,v2,gemini-1.5-pro,8,6,0.613,0.518,0.516,57.48,1000,1198,497,0.00379,1,0
rag-eval-002962,2026-01-23T14:51:00+00:00,security,v3,gemini-1.5-pro,5,4,0.814,0.851,0.927,98.38,890,911,584,0.00064,0,1
rag-eval-002963,2026-01-23T15:02:00+00:00,terraform,v2,openai-gpt-4o-mini,3,1,0.829,1,0.876,96.97,1206,567,248,0.00183,0,1
rag-eval-002964,2026-01-23T15:13:00+00:00,bigquery,v3,gemini-1.5-flash,10,8,1,0.947,0.911,100,1963,1289,776,0.00739,0,0
rag-eval-002965,2026-01-23T15:24:00+00:00,monitoring,v2,gemini-1.5-pro,5,1,0.823,0.791,0.743,99.37,1562,969,441,0.00347,0,1
rag-eval-002966,2026-01-23T15:35:00+00:00,cloud-run,v1,openai-gpt-4o-mini,3,3,0.549,0.555,0.651,64.96,1130,756,316,0.00142,0,0
rag-eval-002967,2026-01-23T15:46:00+00:00,bigquery,v1,openai-gpt-4o-mini,3,1,0.792,0.948,0.956,100,1444,758,355,0.00091,0,1
rag-eval-002968,2026-01-23T15:57:00+00:00,cloud-run,v2,openai-gpt-4o-mini,3,1,0.837,0.872,1,85.72,764,703,407,0.00181,0,1
rag-eval-002969,2026-01-23T16:08:00+00:00,bigquery,v2,gemini-1.5-flash,3,1,0.682,0.759,0.708,77.24,969,808,328,0.00118,0,1
rag-eval-002970,2026-01-23T16:19:00+00:00,monitoring,v2,gemini-1.5-flash,3,1,0.619,0.632,0.599,63.46,1301,739,528,0.00239,0,0
rag-eval-002971,2026-01-23T16:30:00+00:00,monitoring,v3,claude-haiku,5,3,0.978,0.98,1,100,1016,1110,431,0.00524,0,1
rag-eval-002972,2026-01-23T16:41:00+00:00,terraform,v1,claude-haiku,8,7,0.479,0.508,0.485,50.28,1523,1153,582,0.00244,1,0
rag-eval-002973,2026-01-23T16:52:00+00:00,terraform,v1,openai-gpt-4o-mini,8,4,0.751,0.797,0.764,94.9,1029,1547,624,0.00367,0,1
rag-eval-002974,2026-01-23T17:03:00+00:00,monitoring,v3,claude-haiku,3,1,0.913,0.579,0.59,85.43,641,732,325,0.00346,0,0
rag-eval-002975,2026-01-23T17:14:00+00:00,bigquery,v1,gemini-1.5-flash,3,2,0.554,0.483,0.545,24.48,909,783,341,0.00132,1,0
rag-eval-002976,2026-01-23T17:25:00+00:00,security,v3,gemini-1.5-flash,3,1,0.576,0.895,0.892,72.36,1227,893,425,0.00407,0,1
rag-eval-002977,2026-01-23T17:36:00+00:00,cloud-run,v3,openai-gpt-4o-mini,8,8,0.754,0.783,0.973,73.21,1116,1459,551,0.00266,0,1
rag-eval-002978,2026-01-23T17:47:00+00:00,bigquery,v3,gemini-1.5-flash,3,1,0.812,0.86,0.818,98.03,1133,829,419,0.0006,0,1
rag-eval-002979,2026-01-23T17:58:00+00:00,terraform,v3,gemini-1.5-flash,8,7,0.579,0.499,0.5,64.9,1257,1125,524,0.00364,1,0
rag-eval-002980,2026-01-23T18:09:00+00:00,monitoring,v3,gemini-1.5-pro,3,1,0.853,0.762,0.861,64.94,1087,909,294,0.00224,0,1
rag-eval-002981,2026-01-23T18:20:00+00:00,security,v2,gemini-1.5-flash,5,2,0.794,0.636,0.45,68.13,966,915,318,0.00165,0,0
rag-eval-002982,2026-01-23T18:31:00+00:00,gke,v1,openai-gpt-4o-mini,8,7,0.546,0.67,0.683,64.78,1111,1364,356,0.00162,0,1
rag-eval-002983,2026-01-23T18:42:00+00:00,terraform,v1,gemini-1.5-flash,3,1,0.647,0.665,0.531,75.03,1061,849,513,0.00142,0,1
rag-eval-002984,2026-01-23T18:53:00+00:00,monitoring,v3,openai-gpt-4o-mini,5,3,0.546,0.621,0.626,77.63,1019,1230,481,0.00166,0,0
rag-eval-002985,2026-01-23T19:04:00+00:00,security,v2,claude-haiku,5,3,0.714,0.853,0.807,85.2,1475,767,342,0.00208,0,1
rag-eval-002986,2026-01-23T19:15:00+00:00,cloud-run,v3,gemini-1.5-pro,10,8,0.866,0.89,0.743,80.91,1546,1529,532,0.0006,0,1
rag-eval-002987,2026-01-23T19:26:00+00:00,bigquery,v3,claude-haiku,3,1,1,1,1,100,1260,973,368,0.00134,0,1
rag-eval-002988,2026-01-23T19:37:00+00:00,cloud-run,v1,claude-haiku,8,6,0.804,0.775,0.747,86.92,1247,1408,442,0.00379,0,1
rag-eval-002989,2026-01-23T19:48:00+00:00,gke,v2,gemini-1.5-pro,8,5,0.937,1,0.824,84.2,1777,876,557,0.00424,0,1
rag-eval-002990,2026-01-23T19:59:00+00:00,bigquery,v2,claude-haiku,10,9,0.732,0.679,0.691,72.22,1706,1207,542,0.00378,0,1
rag-eval-002991,2026-01-23T20:10:00+00:00,monitoring,v2,gemini-1.5-pro,8,6,0.474,0.547,0.482,72.63,1491,1088,415,0.00056,1,0
rag-eval-002992,2026-01-23T20:21:00+00:00,security,v1,gemini-1.5-flash,5,3,0.82,0.79,0.727,75.81,838,1167,453,0.0025,0,1
rag-eval-002993,2026-01-23T20:32:00+00:00,vertex-ai,v1,gemini-1.5-pro,5,4,0.638,0.599,0.764,70.27,1645,1006,418,0.00426,0,0
rag-eval-002994,2026-01-23T20:43:00+00:00,security,v1,openai-gpt-4o-mini,5,5,0.653,0.852,1,79.23,1304,692,266,0.00354,0,1
rag-eval-002995,2026-01-23T20:54:00+00:00,vertex-ai,v1,gemini-1.5-pro,8,7,0.699,0.627,0.856,70.22,1496,1376,730,0.00197,0,0
rag-eval-002996,2026-01-23T21:05:00+00:00,monitoring,v3,gemini-1.5-flash,3,2,0.54,0.465,0.587,43.69,1305,696,265,0.00079,1,0
rag-eval-002997,2026-01-23T21:16:00+00:00,cloud-run,v3,gemini-1.5-flash,10,10,0.658,0.791,0.676,83.45,1281,1247,539,0.0012,0,1
rag-eval-002998,2026-01-23T21:27:00+00:00,cloud-run,v1,claude-haiku,3,2,0.571,0.547,0.498,54.94,1048,831,319,0.00261,1,0
rag-eval-002999,2026-01-23T21:38:00+00:00,terraform,v1,openai-gpt-4o-mini,8,4,0.615,0.447,0.522,54.99,1459,1344,493,0.00587,1,0
rag-eval-003000,2026-01-23T21:49:00+00:00,bigquery,v3,claude-haiku,8,7,0.565,0.607,0.638,37.54,1145,1633,474,0.00415,0,0
rag-eval-003001,2026-01-23T22:00:00+00:00,monitoring,v3,gemini-1.5-flash,10,7,0.366,0.365,0.421,49.16,1675,1434,558,0.00094,1,0
rag-eval-003002,2026-01-23T22:11:00+00:00,security,v1,gemini-1.5-pro,3,1,0.766,0.804,0.759,85.18,872,774,309,0.00122,0,1
rag-eval-003003,2026-01-23T22:22:00+00:00,bigquery,v2,gemini-1.5-flash,3,2,0.669,0.698,0.8,50.37,1369,604,324,0.00048,1,0
rag-eval-003004,2026-01-23T22:33:00+00:00,gke,v2,gemini-1.5-pro,3,4,0.404,0.505,0.663,53.73,1133,452,252,0.00102,1,0
rag-eval-003005,2026-01-23T22:44:00+00:00,monitoring,v2,gemini-1.5-pro,10,9,0.669,0.797,0.808,55.33,1427,1371,547,0.00257,0,1
rag-eval-003006,2026-01-23T22:55:00+00:00,security,v3,gemini-1.5-flash,10,8,0.724,0.685,0.554,80.52,1237,1813,946,0.00405,0,1
rag-eval-003007,2026-01-23T23:06:00+00:00,gke,v3,openai-gpt-4o-mini,8,5,0.703,0.603,0.443,60.35,1481,1151,453,0.00492,0,0
rag-eval-003008,2026-01-23T23:17:00+00:00,gke,v2,openai-gpt-4o-mini,5,3,0.848,1,1,100,1302,1097,468,0.00369,0,1
rag-eval-003009,2026-01-23T23:28:00+00:00,vertex-ai,v3,gemini-1.5-pro,8,6,0.733,0.71,0.685,61.63,1030,1370,569,0.00297,0,1
rag-eval-003010,2026-01-23T23:39:00+00:00,gke,v1,claude-haiku,3,1,0.73,0.861,0.876,65.41,1350,681,286,0.00236,0,1
rag-eval-003011,2026-01-23T23:50:00+00:00,gke,v1,claude-haiku,5,2,0.877,0.922,0.846,81.6,1020,797,369,0.00092,0,1
rag-eval-003012,2026-01-24T00:01:00+00:00,vertex-ai,v2,gemini-1.5-pro,10,9,0.48,0.579,0.445,54.03,1674,1370,587,0.00721,0,0
rag-eval-003013,2026-01-24T00:12:00+00:00,vertex-ai,v2,claude-haiku,5,3,0.561,0.702,0.631,72.4,1230,810,303,0.00379,0,1
